run,bn,heuristic,time,,Column Labels,,,,,
107,hepar2,WMF,2.30E-05,,,,,,,
107,hepar2,PE,3.50E-05,,,,,,,
108,hepar2,MN,0.00231,,,,,,,
108,hepar2,MW,2.30E-05,,,,,,,
108,hepar2,MF,2.60E-05,,,,,,,
108,hepar2,WMF,3.00E-05,,,,,,,
108,hepar2,PE,3.70E-05,,,,,,,
109,hepar2,MN,0.003092,,,,,,,
109,hepar2,MW,2.40E-05,,,,,,,
109,hepar2,MF,2.40E-05,,,,,,,
109,hepar2,WMF,3.10E-05,,,,,,,
109,hepar2,PE,3.60E-05,,,,,,,
110,hepar2,MN,0.002357,,,,,,,
110,hepar2,MW,3.10E-05,,,,,,,
110,hepar2,MF,2.90E-05,,,,,,,
110,hepar2,WMF,3.10E-05,,,,,,,
110,hepar2,PE,3.70E-05,,,,,,,
111,hepar2,MN,0.002326,,,,,,,
111,hepar2,MW,3.30E-05,,,,,,,
111,hepar2,MF,2.30E-05,,,,,,,
111,hepar2,WMF,2.60E-05,,,,,,,
111,hepar2,PE,3.70E-05,,,,,,,
112,hepar2,MN,0.002345,,,,,,,
112,hepar2,MW,2.50E-05,,,,,,,
112,hepar2,MF,2.20E-05,,,,,,,
112,hepar2,WMF,3.60E-05,,,,,,,
112,hepar2,PE,3.70E-05,,,,,,,
113,hepar2,MN,0.002365,,,,,,,
113,hepar2,MW,2.50E-05,,,,,,,
113,hepar2,MF,2.20E-05,,,,,,,
113,hepar2,WMF,2.80E-05,,,,,,,
113,hepar2,PE,3.90E-05,,,,,,,
114,hepar2,MN,0.002344,,,,,,,
114,hepar2,MW,3.00E-05,,,,,,,
114,hepar2,MF,2.00E-05,,,,,,,
114,hepar2,WMF,2.90E-05,,,,,,,
114,hepar2,PE,4.30E-05,,,,,,,
115,hepar2,MN,0.002619,,,,,,,
115,hepar2,MW,2.40E-05,,,,,,,
115,hepar2,MF,2.00E-05,,,,,,,
115,hepar2,WMF,3.20E-05,,,,,,,
